document_id,lease_date,lessee_name,lessor_name,prop_address_line1,prop_address_line2,prop_city,prop_state,prop_zip_code,lease_start_date,lease_end_date,lease_duration,lease_duration_firm,prop_size,monthly_rent,monthly_rent_firm,lessee_signed,lessor_signed,no_parking_spaces,rent_1,rent_2,rent_3,,,,
gsa_(R)LDC02066-Lease-SF2-01.png,Dec 9,United States of America,"CS Master V, LLC","Two Constitution Square, ","145 N Street, N.E.,",Washington,DC,20002,,,15,10,54790,219160,219160,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02066-SLA-1,Feb 3 2009,United States of America,"CS Office Two, LLC","Two Constitution Square, ","145 N Street, N.E.,",Washington,DC,20002,Aug 23 2010,Aug 22 2025,15,10,54790,219160,219160,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02066-SLA-1_Amended_1,Sep 10 2011,United States of America,"CS Office Two, LLC","Two Constitution Square, ","145 N Street, N.E.,",Washington,DC,20002,Aug 23 2011,Aug 22 2025,15,10,54790,219160,220767,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02066-SLA-1_Amended_2,Sep 10 2012,United States of America,"CS Office Two, LLC","Two Constitution Square, ","145 N Street, N.E.,",Washington,DC,20002,Aug 23 2012,Aug 22 2025,15,10,54790,219160,221294,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02071-Lease-SF2-01,Jan 15 2009,United States of America,"Bristol Group, Inc.",One NOMA Station,"131 M Street, N.E.,",Washington,DC,20002,Jan 15 2009,Jan 14 2014,5,5,25000,89910,89910,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02071-SLA-01,Oct 27 2009,United States of America,Union Station Venture,One NOMA Station,"131 M Street, N.E.,",Washington,DC,20002,Oct 27 2009,Oct 26 2014,5,5,31704,113292,113292,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02071-SLA-02,Jun 09 2011,United States of America,Union Station Venture,One NOMA Station,"131 M Street, N.E.,",Washington,DC,20002,Jun 09 2011,Jun 08 2016,5,5,31704,117045,117045,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02071-SLA-03,Aug 15 2011,United States of America,Union Station Venture,One NOMA Station,"131 M Street, N.E.,",Washington,DC,20002,Aug 15 2011,Aug 14 2016,5,5,31704,117585,117585,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02071-SLA-04,Aug 15 2012,United States of America,Union Station Venture,One NOMA Station,"131 M Street, N.E.,",Washington,DC,20002,Aug 15 2012,Aug 14 2017,5,5,31704,118320,118320,TRUE,TRUE,,,,,,,,
gsa_(R)LDC02087-Lease-SF2,Apr 21 2009,United States of America,Eleven Eighteen Limited,1801 L Street,NW,Washington,DC,20036,Apr 21 2009,Apr 20 2014,5,5,,,,,,,,,,,,,
